horizon_days,model,label,mae,rmse,mase,smape_pct,directional_accuracy,gain_vs_naive_pct,gain_vs_sarimax_pct,folds,brier,log_loss,precision_up,recall_up,f1_up,picp_p10_p90,interval_width,pinball_p10,pinball_p90
7,naive,Naive,0.08688304496999999,0.18098276908279212,6.194465917741686,1.2484394182251315,0.0,0.0,3.2427078486393417,24,,,,,,,,,
7,seasonal_naive,Seasonal naive (52s),0.9308202180808333,0.961726940475014,66.36431905025354,13.86816901826901,0.75,-971.3485219149927,-936.6078193085735,24,,,,,,,,,
7,moving_average_4,Média móvel 4,0.207237847005,0.3533532155816661,14.775354392584873,2.949719281596838,0.125,-138.52507365108758,-130.79040236683096,24,,,,,,,,,
7,moving_average_8,Média móvel 8,0.3241317057764583,0.4815371068159924,23.10948937143066,4.6170899829124075,0.20833333333333334,-273.0666966015962,-260.96923355023677,24,,,,,,,,,
7,moving_average_12,Média móvel 12,0.3990658227820834,0.5587179242702071,28.452037322272957,5.712119182205953,0.375,-359.31380848803997,-344.41960357031405,24,,,,,,,,,
7,arima,ARIMA,0.0592881693499839,0.14374525108537156,4.227045040727842,0.8607782189236474,0.75,31.76094441619119,33.97373762744472,24,,,,,,,,,
7,sarima,SARIMA,0.06448495495699702,0.14534053462415802,4.597558198220984,0.9323466302516374,0.7083333333333334,25.779586823570522,28.18633798693515,24,,,,,,,,,
7,sarimax,SARIMAX + mercado,0.08979482893556585,0.1917760870055388,6.402066221584081,1.2875344842542427,0.5833333333333334,-3.351383421899267,0.0,24,,,,,,,,,
7,lightgbm,LightGBM,0.521911926284829,0.6832747673425525,37.21054712747005,7.568521137773242,0.7083333333333334,-500.70630174741336,-481.2271513533789,24,,,,,,,,,
7,lightgbm_price_only,LightGBM — somente preço,0.5986454185298741,0.7310396484716654,42.68138441943367,8.708843589432954,0.625,-589.0244451452886,-566.6813953835187,24,,,,,,,,,
7,simple_average,Média simples,0.11060639225733986,0.22068841070328513,7.885859978308029,1.5742640800187553,0.625,-27.304921570752207,-23.176794887273267,24,,,,,,,,,
