horizon_days,model,label,mae,rmse,mase,smape_pct,directional_accuracy,gain_vs_naive_pct,gain_vs_sarimax_pct,folds,brier,log_loss,precision_up,recall_up,f1_up,picp_p10_p90,interval_width,pinball_p10,pinball_p90
7,naive,Naive,0.08675895226750001,0.18097599711447093,6.167805526300561,1.247337069191839,0.0,0.0,3.0395886076292005,24,,,,,,,,,
7,seasonal_naive,Seasonal naive (52s),0.9093401886687499,0.9482024040324857,64.6461638179477,13.547919397392254,0.7083333333333334,-948.1226028007137,-916.2639875719966,24,,,,,,,,,
7,moving_average_4,Média móvel 4,0.20696594072093752,0.35333906580107105,14.713474973726493,2.947045995911443,0.125,-138.55283554232957,-131.3018107300085,24,,,,,,,,,
7,moving_average_8,Média móvel 8,0.3210243318902083,0.4812814568909669,22.82203273046081,4.572986302336784,0.25,-270.0186822224504,-258.7716365115171,24,,,,,,,,,
7,moving_average_12,Média móvel 12,0.39446574327767364,0.5581752933937101,28.04307714347184,5.6476680498210685,0.4166666666666667,-354.6686341502085,-340.8485781441155,24,,,,,,,,,
7,arima,ARIMA,0.0593619917783352,0.1437485550278771,4.220120360763948,0.862423613113295,0.75,31.578251895773228,33.65799155629005,24,,,,,,,,,
7,sarima,SARIMA,0.06441426393914018,0.14533688506670633,4.579292888086648,0.9318692878836311,0.7083333333333334,25.75490798859056,28.011653347093173,24,,,,,,,,,
7,sarimax,SARIMAX + mercado,0.0894787377875405,0.1917594242498695,6.361158577742861,1.2835177762393275,0.625,-3.1348759395511046,0.0,24,,,,,,,,,
7,lightgbm,LightGBM,0.5175481029771212,0.6828948230827903,36.793160431749904,7.50706964380728,0.75,-496.5356766658363,-478.40344619745787,24,,,,,,,,,
7,lightgbm_price_only,LightGBM — somente preço,0.5975156174725237,0.7309872650766744,42.47815391010045,8.694358191277521,0.625,-588.7077377677758,-567.7738558307257,24,,,,,,,,,
7,simple_average,Média simples,0.0982986456420994,0.20768771269874858,6.98817717334649,1.4070326021640958,0.6666666666666666,-13.300867602710987,-9.856987338713939,24,,,,,,,,,
7,inverse_mase,Ensemble inverse-MASE,0.09828994274854774,0.20769490101466684,6.987558473448211,1.4067882892821653,0.6666666666666666,-13.290836483933951,-9.84726112468047,24,,,,,,,,,
7,probability_layer,Probabilidade ensemble,,,,,,,,24,0.31704746299446396,1.1131837434445964,0.0,0.0,0.0,0.8333333333333334,0.4576589448874185,0.028007557086466267,0.08553678954006087
14,naive,Naive,0.1709167622691666,0.32727995225140366,6.721848527285698,2.455117544555168,0.0,0.0,11.75823742833278,24,,,,,,,,,
14,seasonal_naive,Seasonal naive (52s),0.8949916921583333,0.9312578682670313,35.19841183507321,13.320578435551283,0.75,-423.64184780710053,-362.0707960678327,24,,,,,,,,,
14,moving_average_4,Média móvel 4,0.2849499056871874,0.45889180765412524,11.206566743156449,4.0698293373492165,0.25,-66.71852538280407,-47.11536533127871,24,,,,,,,,,
14,moving_average_8,Média móvel 8,0.3749440330212499,0.5533587114263543,14.74587373828994,5.367731795185065,0.375,-119.37230031936419,-93.57798439581812,24,,,,,,,,,
14,moving_average_12,Média móvel 12,0.4399825867102778,0.6153102831384205,17.303722954055544,6.327843853548441,0.4583333333333333,-157.42506520067087,-127.15641483433554,24,,,,,,,,,
14,arima,ARIMA,0.14195783270498596,0.29088696264600034,5.5829459675929085,2.0437610087165314,0.7083333333333334,16.9432940220193,26.709298711062534,24,,,,,,,,,
14,sarima,SARIMA,0.15484028749854784,0.29620261982936974,6.0895897199801485,2.219150245701004,0.5416666666666666,9.406025808809138,20.058280389971884,24,,,,,,,,,
14,sarimax,SARIMAX + mercado,0.19369146454928676,0.34739305380069596,7.617536562493776,2.7487317565908,0.4166666666666667,-13.325025572537841,0.0,24,,,,,,,,,
14,lightgbm,LightGBM,0.5957321537028878,0.7573596358030275,23.4290729993947,8.699428221886716,0.7083333333333334,-248.5510407485398,-207.56758181840155,24,,,,,,,,,
14,lightgbm_price_only,LightGBM — somente preço,0.6618563487238555,0.7908017639366212,26.029618534066504,9.68093092555935,0.75,-287.238992792022,-241.70651260445158,24,,,,,,,,,
14,simple_average,Média simples,0.18492513568212707,0.3430216495797278,7.272772631776316,2.647565256206397,0.4583333333333333,-8.196020815617553,4.525924199891119,24,,,,,,,,,
14,inverse_mase,Ensemble inverse-MASE,0.1849184400284097,0.3430156426309181,7.272509303771025,2.647363741471496,0.4583333333333333,-8.192103321728442,4.529381065547506,24,,,,,,,,,
14,probability_layer,Probabilidade ensemble,,,,,,,,24,0.3374876097711615,1.157843915772194,0.0,0.0,0.0,0.8333333333333334,0.8528781281766241,0.05075073813627353,0.1590120326128542
30,naive,Naive,0.33175387291124997,0.5377784783916201,7.320343326403612,4.763763127598474,0.0,0.0,17.710718032354357,24,,,,,,,,,
30,seasonal_naive,Seasonal naive (52s),0.8501377209245833,0.8938642054831464,18.758786257060795,12.61253516956486,0.8333333333333334,-156.2555527880786,-110.87085439153101,24,,,,,,,,,
30,moving_average_4,Média móvel 4,0.4115923468560417,0.6139182813097096,9.08202597023624,5.913372492007885,0.2916666666666667,-24.065574048671294,-2.0926700536893192,24,,,,,,,,,
30,moving_average_8,Média móvel 8,0.4773051950866665,0.6671620668000536,10.532018417295674,6.883311220792277,0.375,-43.873285004378566,-18.392293173367516,24,,,,,,,,,
30,moving_average_12,Média móvel 12,0.5254176978520486,0.7100449401416179,11.593648943096227,7.6123663603300775,0.4583333333333333,-58.375754061688724,-30.32627082820803,24,,,,,,,,,
30,arima,ARIMA,0.3194572505678334,0.5265392805334193,7.049011159218888,4.570462814491833,0.4583333333333333,3.706549748917661,20.760811206512273,24,,,,,,,,,
30,sarima,SARIMA,0.3496104118433649,0.5442862056779036,7.714358306416648,4.96660014106252,0.4166666666666667,-5.382465855008077,13.28152552811451,24,,,,,,,,,
30,sarimax,SARIMAX + mercado,0.4031556297230645,0.5924259741856063,8.895864870083338,5.679763270285395,0.25,-21.52250889650225,0.0,24,,,,,,,,,
30,lightgbm,LightGBM,0.7322973862344181,0.8727116612341757,16.158570319683967,10.789565021664108,0.7083333333333334,-120.73514313737057,-81.64136433799709,24,,,,,,,,,
30,lightgbm_price_only,LightGBM — somente preço,0.8362835488638538,0.9319329918028614,18.45308584398758,12.386607667515861,0.8333333333333334,-152.0795135035468,-107.434421649603,24,,,,,,,,,
30,simple_average,Média simples,0.33022679959640955,0.547788864717062,7.286647560168468,4.76808805457338,0.375,0.4603030859714909,18.08949813667521,24,,,,,,,,,
30,inverse_mase,Ensemble inverse-MASE,0.3313544146581524,0.5482192248984454,7.311529046312232,4.7839337848996335,0.375,0.12040801501190743,17.80980092333915,24,,,,,,,,,
30,probability_layer,Probabilidade ensemble,,,,,,,,24,0.3180382369872063,1.1754382493535545,0.0,0.0,0.0,0.7083333333333334,1.4174044569946698,0.09219147852974574,0.26632044384697634
